lemma,app_cefr,reference_cefr,match
work,A1,A1,True
live,A1,A1/B1,True
eat,A1,A1,True
want,A1,A1/B2,True
need,A1,A1/A2/B2,True
time,A1,A1/B2,True
home,A1,A1/A2,True
here,A1,A1,True
today,A1,A1,True
yesterday,A1,A1,True
always,A1,A1,True
usually,A1,A1,True
never,A1,A1,True
because,A2,A1,False
before,A2,A1/A2,True
enough,A2,A2,True
through,A2,A1/B1,False
although,B1,A2,False
thought,A2,A2,True
right,A1,A1/A2,True
environment,A2,B2,False
report,A2,A2/B1,True
monitoring,B1,not_found,None
wastewater,B1,not_found,None
sample,A2,A2,True
result,A2,A1/B1,False
limit,A2,B1,False
project,A2,B2,False
meeting,A2,A1,False
improve,A2,A2,True

found=28/30 exact_level_match=20/28
